Majority_protein_IDs,Main_Uniprot_ID,plot_label,Simple_gene_name,Simple_protein_name,core_histone,hovertext,hier_cl_averag_1,hier_cl_averag_2,hier_cl_averag_3,human_ICP,tSNE_dim_1,tSNE_dim_2,Ratio_log2_repA_G2,Ratio_log2_repA_0min,Ratio_log2_repA_5min,Ratio_log2_repA_10min,Ratio_log2_repA_15min,Ratio_log2_repA_20min,Ratio_log2_repA_25min,Ratio_log2_repB_G2,Ratio_log2_repB_0min,Ratio_log2_repB_5min,Ratio_log2_repB_10min,Ratio_log2_repB_15min,Ratio_log2_repB_20min,Ratio_log2_repB_25min,Ratio_log2_avg_0min,Ratio_log2_avg_5min,Ratio_log2_avg_10min,Ratio_log2_avg_15min,Ratio_log2_avg_20min,Ratio_log2_avg_25min,Ratio_log2_avg_G2
A0A0A0MQ53;F1N9Y5,F1N9Y5,SYK RCJMB04_19o18 | Tyrosine-protein kinase SYK | F1N9Y5,SYK RCJMB04_19o18,Tyrosine-protein kinase SYK,FALSE,SYK RCJMB04_19o18<br>Tyrosine-protein kinase SYK<br>F1N9Y5,1,1,1,,5.73190246750278,25.8011219201383,0,0.166127798465599,0.250023946006932,0.302222478833435,-0.041207737705318,0.076747695015199,0.090379343052602,0,0.231463428848596,0.229987968440241,0.380520476581944,0.365763136092472,0.351765078493559,0.421880438605827,0.198795613657098,0.240005957223586,0.341371477707689,0.162277699193577,0.214256386754379,0.256129890829214,0
A0A140T8H9;Q76I90,Q76I90,NUF2 CDCA1 RCJMB04_29i8 | Kinetochore protein Nuf2 | Q76I90,NUF2 CDCA1 RCJMB04_29i8,Kinetochore protein Nuf2,FALSE,NUF2 CDCA1 RCJMB04_29i8<br>Kinetochore protein Nuf2<br>Q76I90,3,3,,0.18402016216446,-13.6258375298249,70.3814617138029,0,0.573819183916327,0.901400976135196,1.57357641397685,1.73581565459829,1.78851803527754,1.77551747389742,0,0.71691097843435,0.804988004435414,1.3464020341217,1.93283649160277,1.96843004996492,2.10553727545791,0.645365081175339,0.853194490285305,1.45998922404928,1.83432607310053,1.87847404262123,1.94052737467767,0
A0A1D5NTA0,A0A1D5NTA0,OTUB1 | Ubiquitin thioesterase | A0A1D5NTA0,OTUB1,Ubiquitin thioesterase,FALSE,OTUB1<br>Ubiquitin thioesterase<br>A0A1D5NTA0,5,7,7,,-2.10968481767138,2.04366874896504,0,0.213928811605071,0.208766989293888,0.148290217373582,-0.310881044192221,-0.14903531808746,-0.158982888506819,0,0.372921795143446,0.28886143724277,0.139745496051233,0.159889228423594,0.224045014584689,0.187399936569016,0.293425303374258,0.248814213268329,0.144017856712407,-0.0754959078843136,0.0375048482486144,0.0142085240310985,0
A0A1D5NTC5;A0A1D5P9C6;A0A3Q3AGI3;A0A1D5PEJ6,A0A1D5NTC5,RRP12 | RRP12-like protein | A0A1D5NTC5,RRP12,RRP12-like protein,FALSE,RRP12<br>RRP12-like protein<br>A0A1D5NTC5,6,8,8,,-35.3630774291327,-48.0658862194691,0,-0.144732908425604,-0.799628689154983,-0.953742189275602,-1.72328137164277,-1.72323259976292,-1.68175660845823,0,-0.182423284206376,-0.874994413507155,-1.3901084202274,-1.39582468032984,-1.76521403549155,-1.57948851049682,-0.16357809631599,-0.837311551331069,-1.1719253047515,-1.55955302598631,-1.74422331762724,-1.63062255947753,0
A0A1D5NTE2;A0A3Q3AC78;F1P589,A0A1D5NTE2,PROSER1 | Proline and serine rich 1 | A0A1D5NTE2,PROSER1,Proline and serine rich 1,FALSE,PROSER1<br>Proline and serine rich 1<br>A0A1D5NTE2,2,2,,,13.6598789947295,-24.1455167763148,0,0.195342510521364,-0.04412278065069,-0.334263262597812,-1.28604580062728,-0.807406055953617,-0.734881047217268,0,-0.111393360782267,0.0110498395096179,-0.0884824446270776,-0.686086839089066,-0.640096951827466,-0.837722530242118,0.0419745748695488,-0.0165364705705361,-0.211372853612445,-0.986066319858171,-0.723751503890541,-0.786301788729693,0
A0A1D5NTG0,A0A1D5NTG0,COPS5 | MPN domain-containing protein | A0A1D5NTG0,COPS5,MPN domain-containing protein,FALSE,COPS5<br>MPN domain-containing protein<br>A0A1D5NTG0,5,7,11,,-7.45850350025932,0.354813941215104,0,0.076070968702515,0.327575392945907,0.324195832389577,-0.353370032052843,-0.248639267976195,-0.258875796919362,0,0.170060796076238,0.399787764707787,0.558457897839115,0.293284909996533,0.200359158443281,0.201801491812995,0.123065882389376,0.363681578826847,0.441326865114346,-0.0300425610281551,-0.0241400547664571,-0.0285371525531836,0
A0A1D5NTQ9,A0A1D5NTQ9,MORC4 | CW-type domain-containing protein | A0A1D5NTQ9,MORC4,CW-type domain-containing protein,FALSE,MORC4<br>CW-type domain-containing protein<br>A0A1D5NTQ9,2,5,12,,37.0051494648006,-19.0142372117849,0,0.244804848338339,0.240480310253692,-0.120885093586203,-1.08017206732852,-0.899520382480323,-1.10615567062642,0,0.313398453032328,0.273609436684521,0.208061187996155,-0.525745069335776,-0.829196263619748,-0.865765294596537,0.279101650685333,0.257044873469107,0.043588047204976,-0.802958568332148,-0.864358323050035,-0.985960482611479,0
A0A1D5NTR1,A0A1D5NTR1,CCDC6 | CCDC6 | A0A1D5NTR1,CCDC6,CCDC6,FALSE,CCDC6<br>CCDC6<br>A0A1D5NTR1,1,1,,,-3.9552955758302,33.098734217224,0,0.181262196508602,0.307933142667775,0.906718013793606,0.705650841945248,0.808868727107273,0.754482829072647,0,0.390260058952342,0.471760502983378,0.792039601870259,0.719116425976058,0.876964433279343,0.983688958565037,0.285761127730472,0.389846822825577,0.849378807831933,0.712383633960653,0.842916580193308,0.869085893818842,0
A0A1D5NTV3;F1NWT0;P11029,P11029,ACAC | Acetyl-CoA carboxylase 1 | P11029,ACAC,Acetyl-CoA carboxylase 1,FALSE,ACAC<br>Acetyl-CoA carboxylase 1<br>P11029,7,10,,,-25.4440380701556,69.4930660029867,0,0.238427768533513,0.69816872374861,1.47878387966828,2.10136528335429,2.45196061168763,2.42426219224301,0,0.442351446338655,0.747888722125202,1.28947417223493,2.76798717932121,3.0948928517843,3.04957338073598,0.340389607436084,0.723028722936906,1.3841290259516,2.43467623133775,2.77342673173596,2.73691778648949,0
A0A1D5NTY1;F1NT10,A0A1D5NTY1,TCERG1 | Transcription elongation regulator 1 | A0A1D5NTY1,TCERG1,Transcription elongation regulator 1,FALSE,TCERG1<br>Transcription elongation regulator 1<br>A0A1D5NTY1,2,2,17,0.880336126431358,33.0163373071912,-27.9285416943991,0,0.0975586423963987,0.160243187203128,-0.201800003366526,-1.14074043368365,-1.21445497766243,-1.27658547966902,0,0.098374015265534,0.180133762749701,0.0607247536610648,-0.665331725403309,-1.00328792356594,-1.08409399361638,0.0979663288309663,0.170188474976415,-0.0705376248527305,-0.90303607954348,-1.10887145061418,-1.1803397366427,0
